UE ID,Position,Tile,Active,Inner Region,BS ID,Moving,Generator,Cluster
1,"(5.480813314154664, 7.229434084863914)",4900,True,False,752292372.0,True,,3
2,"(14.914220320157458, 7.796932459294109)",164347,True,False,752291521.0,True,,2
3,"(6.832967188263365, 4.740158882294732)",96840,True,False,752290441.0,True,,1
4,"(12.307559626092758, 3.3639529923026306)",169187,True,False,752291450.0,True,,4
5,"(12.30768240624107, 3.3534973765806746)",148063,True,False,752290396.0,True,,4
6,"(5.457824371383973, 7.2210547440978505)",56452,True,False,752291981.0,True,,3
7,"(14.899648436496099, 7.808056886214843)",213330,True,False,752291269.0,True,,2
8,"(5.476733161268502, 7.213140498140441)",123787,True,False,752292067.0,True,,3
9,"(14.897863762195007, 7.812327041075919)",207073,True,False,752290279.0,True,,2
10,"(6.839015804788125, 4.7399302016111236)",102255,True,False,752292450.0,True,,1
11,"(5.877211426741163, 2.256438217934636)",248365,True,False,752291468.0,True,,0
12,"(5.876350651977095, 2.240015083954361)",193895,True,False,752292421.0,True,,0
13,"(5.871542781368793, 2.258113994103966)",243576,True,False,752290328.0,True,,0
14,"(5.860540992116317, 2.2388410153722065)",129404,True,False,752290063.0,True,,0
15,"(5.4700978473221555, 7.217155496202325)",119215,True,False,752291565.0,True,,3
16,"(14.905515676893426, 7.797029664174541)",190089,True,False,752290388.0,True,,2
17,"(5.878553411680375, 2.256347127001697)",221742,True,True,752292421.0,True,,0
18,"(14.911548632008502, 7.797334556719103)",243111,True,False,752290459.0,True,,2
19,"(5.461914098117789, 7.222374133738986)",81835,True,False,752290075.0,True,,3
20,"(14.91622809169305, 7.814101271215345)",201031,True,False,752290403.0,True,,2
21,"(5.481842745897508, 7.2161378806490895)",53223,True,False,752292179.0,True,,3
22,"(12.317498705212726, 3.3486272173293123)",137235,True,False,752290275.0,True,,4
23,"(12.327053758074051, 3.360403745110161)",45461,True,False,752291153.0,True,,4
24,"(12.32401203228128, 3.363660679435605)",87555,True,False,752290198.0,True,,4
25,"(5.8684945263132455, 2.262049678126889)",234748,True,False,752290328.0,True,,0
26,"(5.470809916718949, 7.215202066182628)",36961,True,False,752291916.0,True,,3
27,"(12.314694276715231, 3.3417365254403686)",159055,True,True,752291450.0,True,,4
28,"(5.877354318256671, 2.262736290852699)",149143,True,False,752292280.0,True,,0
29,"(12.322402941396568, 3.3488271955361664)",30558,True,False,752292714.0,True,,4
30,"(12.30802517205541, 3.351388064630374)",82184,True,False,752292018.0,True,,4
31,"(5.881422247379071, 2.2505721073870175)",141614,True,False,752292180.0,True,,0
32,"(6.832678213278136, 4.729387029839069)",47309,True,False,752290400.0,True,,1
33,"(5.877057090356473, 2.2552695520327255)",201523,True,False,752291190.0,True,,0
34,"(14.908816039815408, 7.792367388215976)",245158,True,False,752292424.0,True,,2
35,"(12.326409516764501, 3.3435908065252335)",54248,True,False,942290048.0,True,,4
